params,samples,features,accuracy,recall_0,recall_1,avg_score
"(None, 5, True, (1, 3), True)",27996,136033,0.9541477073853692,0.9596959695969596,0.9486,0.9541478923274429
"(1, False, (1, 1), False)",27998,34201,0.9232961648082404,0.9323932393239324,0.9142,0.9232964680440575
"(1, False, (1, 1), True)",27999,34295,0.9412970648532428,0.9469946994699471,0.9356,0.9412972547743966
"(1, False, (1, 2), False)",27999,630191,0.9334966748337415,0.9406940694069408,0.9263,0.9334969147468941
"(1, False, (1, 2), True)",27999,628750,0.9482474123706184,0.9537953795379538,0.9427,0.9482475973028573
"(1, False, (1, 3), False)",27998,2311785,0.9312965648282414,0.9393939393939394,0.9232,0.9312968347407269
"(1, False, (1, 3), True)",27997,2312029,0.9466473323666184,0.952095209520952,0.9412,0.9466475139625233
"(1, True, (1, 1), False)",27998,34196,0.928746437321866,0.9334933493349334,0.924,0.9287465955522665
"(1, True, (1, 1), True)",27997,34302,0.9420971048552428,0.946094609460946,0.9381,0.9420972381053963
"(1, True, (1, 2), False)",27996,621684,0.9397969898494924,0.9451945194519452,0.9344,0.939797169767146
"(1, True, (1, 2), True)",27997,630679,0.9514475723786188,0.9570957095709572,0.9458,0.9514477606498586
"(1, True, (1, 3), False)",27999,2325827,0.9372968648432422,0.9417941794179416,0.9328,0.937297014753728
"(1, True, (1, 3), True)",27999,2298857,0.9508475423771188,0.9595959595959596,0.9421,0.9508478339910261
"(3, False, (1, 1), False)",27997,14320,0.9231461573078654,0.9331933193319332,0.9131,0.9231464922132662
"(3, False, (1, 1), True)",27998,14318,0.9407470373518676,0.943994399439944,0.9375,0.9407471455972706
"(3, False, (1, 2), False)",27999,129399,0.9332466623331168,0.9422942294229424,0.9242,0.9332469639186863
"(3, False, (1, 2), True)",27997,128517,0.9509475473773688,0.956095609560956,0.9458,0.9509477189794415
"(3, False, (1, 3), False)",27997,253061,0.9342467123356168,0.942094209420942,0.9264,0.934246973918853
"(3, False, (1, 3), True)",28000,255008,0.9505475273763688,0.9546954695469548,0.9464,0.9505476656411079
"(3, True, (1, 1), False)",27997,14341,0.9289964498224912,0.9310931093109313,0.9269,0.9289965197111408
"(3, True, (1, 1), True)",27995,14370,0.9401970098504924,0.9412941294129412,0.9391,0.9401970464211447
"(3, True, (1, 2), False)",27997,129492,0.9412970648532428,0.9454945494549456,0.9371,0.9412972047693962
"(3, True, (1, 2), True)",27999,129179,0.9539976998849944,0.9593959395939594,0.9486,0.9539978798263179
"(3, True, (1, 3), False)",27999,254110,0.9409470473523676,0.9468946894689471,0.935,0.9409472456071049
"(3, True, (1, 3), True)",27999,254778,0.9549477473873692,0.9622962296229624,0.9476,0.9549479923367773
"(5, False, (1, 1), False)",28000,10645,0.9226461323066152,0.9309930993099309,0.9143,0.9226464105388487
"(5, False, (1, 1), True)",27999,10484,0.9402470123506176,0.9441944194419442,0.9363,0.9402471439308538
"(5, False, (1, 2), False)",28000,77635,0.9323966198309916,0.9409940994099408,0.9238,0.932396906413644
"(5, False, (1, 2), True)",27998,77431,0.951847592379619,0.9583958395839584,0.9453,0.9518478106545257
"(5, False, (1, 3), False)",27995,136917,0.9335966798339916,0.9410941094109412,0.9261,0.9335969297483109
"(5, False, (1, 3), True)",27997,136241,0.9513475673783688,0.9561956195619562,0.9465,0.9513477289801083
"(5, True, (1, 1), False)",27999,10624,0.926946347317366,0.9308930893089308,0.9229999999999999,0.9269464788754322
"(5, True, (1, 1), True)",28000,10627,0.9405470273513676,0.943994399439944,0.9371,0.9405471422637706
"(5, True, (1, 2), False)",27997,77116,0.9399969998499924,0.945894589458946,0.9341,0.9399971964363129
"(5, True, (1, 2), True)",28000,78066,0.9535476773838693,0.957895789578958,0.9492,0.9535478223209424
"(5, True, (1, 3), False)",28000,136222,0.9410970548527426,0.9454945494549456,0.9367,0.941097201435896
"(5, True, (1, 3), True)",27998,136519,0.9532476623831192,0.9581958195819582,0.9483,0.9532478273216926
