params,samples,features,accuracy,recall_0,recall_1,avg_score
"(5, False, (1, 2), True)",4000,15499,0.920246012300615,0.9271927192719271,0.9133,0.920246243857514
"(5, False, (1, 3), False)",4000,20751,0.8856942847142357,0.8970897089708971,0.8743,0.885694664561711
"(5, False, (1, 3), True)",4000,21197,0.9232461623081154,0.9310931093109313,0.9154,0.9232464238730156
"(5, True, (1, 1), False)",4000,3768,0.8985449272463624,0.9075907590759076,0.8895,0.8985452287740899
"(5, True, (1, 1), True)",4000,3828,0.9179958997949896,0.927892789278928,0.9081,0.9179962296913059
"(5, True, (1, 2), False)",4000,15332,0.9070453522676134,0.92009200920092,0.894,0.9070457871561778
"(5, True, (1, 2), True)",4000,15305,0.9295964798239912,0.9381938193819382,0.9209999999999999,0.9295967664019765
"(5, True, (1, 3), False)",4000,20205,0.905495274763738,0.9221922192219222,0.8888,0.9054958313285534
"(5, True, (1, 3), True)",4000,21163,0.927546377318866,0.9367936793679368,0.9183,0.9275466855622675
"(None, 1, False, (1, 1), False)",20000,29453,0.9175458772938648,0.9272927292729272,0.9078,0.9175462021889307
"(None, 1, False, (1, 1), True)",20000,29351,0.9382469123456172,0.942194219421942,0.9343,0.9382470439225198
"(None, 1, False, (1, 2), False)",19999,497045,0.927146357317866,0.9370937093709372,0.9172,0.9271466888962676
"(None, 1, False, (1, 2), True)",20000,497163,0.9452972648632432,0.9502950295029504,0.9403,0.9452974314553978
"(None, 1, False, (1, 3), False)",19999,1773051,0.9254962748137406,0.9313931393139314,0.9196,0.9254964713758906
"(None, 1, False, (1, 3), True)",19999,1765332,0.9420471023551178,0.9525952595259526,0.9315,0.9420474539603568
"(None, 1, True, (1, 1), False)",19998,28994,0.9239961998099904,0.9311931193119312,0.9168,0.9239964397073072
"(None, 1, True, (1, 1), True)",20000,29332,0.9388469423471174,0.9392939293929392,0.9384,0.9388469572466857
"(None, 1, True, (1, 2), False)",19999,495146,0.9360468023401172,0.9406940694069408,0.9314,0.9360469572490193
"(None, 1, True, (1, 2), True)",19999,502372,0.9513475673783688,0.9587958795879588,0.9439,0.9513478156554426
